field1,field2,field3,field4,field5,refkey1,refkey2
which,suddenly,151.16,space,1.642,various,when
you,group,396.96,better,1.164,national,huge
lay,traditional,999.83,blood,7.55,culture,tonight
call,education,235.16,trade,6.527,more,no
economic,today,529.64,early,5.599,do,life
serve,measure,294.95,enough,4.943,game,whom
side,create,883.99,personal,1.065,worry,today
condition,represent,235.9,everything,2.403,design,enjoy
growth,meet,758.59,wall,7.866,give,PM
strong,able,508.03,also,7.194,stay,unit
way,security,994.14,standard,6.659,institution,remain
door,at,12.53,respond,0.695,where,feel
away,age,391.66,raise,4.583,late,traditional
price,TV,634.39,eat,5.422,western,natural
a,central,973.03,occur,5.389,finally,choose
yourself,nearly,705.23,southern,2.819,serve,air
look,test,595.64,one,8.821,near,plant
night,once,390.94,understand,5.503,long,eight
audience,want,638.4,Mrs,4.928,hold,put
do,figure,300.36,necessary,9.85,north,theory
structure,plan,126.67,produce,4.252,eat,must
score,step,337.38,building,8.634,home,degree
travel,security,135.35,nature,7.288,issue,return
environment,nor,666.54,action,2.025,Republican,task
seem,you,576.37,surface,5.309,eat,theory
staff,environmental,134.25,they,8.632,issue,standard
address,future,303.06,heavy,6.347,project,never
chair,reveal,551.7,mission,0.273,we,same
already,difficult,673.36,understand,5.402,discuss,common
stock,beyond,699.44,get,2.618,likely,already
including,west,482.61,factor,3.884,financial,education
key,near,20.6,management,8.554,source,table
third,per,952.54,gun,4.279,poor,different
design,beautiful,479.86,live,8.077,civil,there
will,heart,788.17,behavior,2.847,light,teacher
tend,owner,266.3,much,8.615,already,administration
lay,top,776.91,office,6.745,class,example
suffer,loss,519.89,parent,9.66,adult,professor
down,unit,537.06,across,2.66,individual,draw
per,up,576.23,nor,4.566,bit,agent
too,course,928.31,himself,1.387,possible,international
partner,a,246.57,news,1.559,glass,human
one,red,576.48,design,5.992,discussion,of
power,through,154.39,yeah,0.655,read,nothing
opportunity,avoid,321.31,girl,1.056,night,how
leave,general,268.93,remember,3.347,development,voice
activity,cold,160.38,go,3.97,happy,million
main,wear,553.16,wait,8.471,west,size
case,defense,770.72,beyond,7.121,officer,you
surface,serve,207.42,mother,4.691,customer,bed
age,military,615.96,sense,0.53,maybe,course
early,various,262.21,early,0.801,bag,also
somebody,college,584.63,discuss,2.55,perhaps,chair
little,foot,797.62,Mr,7.11,under,woman
travel,relate,766.41,spring,5.319,it,maybe
final,ok,460.67,author,1.871,result,American
hundred,rich,931.6,former,7.37,them,member
environmental,particularly,979.97,country,9.089,TV,allow
other,college,466.06,drive,0.74,successful,under
focus,recognize,45.56,number,5.738,involve,pressure
note,soon,91.77,physical,3.238,economic,area
still,everything,945.49,girl,9.128,generation,these
range,chance,289.15,nation,9.16,follow,over
teach,meeting,330.78,again,3.895,day,figure
over,know,530.34,hand,7.483,usually,wall
account,affect,386.3,with,6.52,believe,beyond
serious,back,833.23,ok,6.383,finish,defense
without,item,594.94,increase,9.988,reach,audience
future,radio,600.08,exist,4.013,free,rest
year,language,421.04,reduce,8.427,car,catch
lot,people,460.57,as,9.978,attorney,pay
leg,director,767.25,family,6.136,mean,send
stop,still,258.18,other,6.327,chair,consider
he,against,310.47,several,6.152,apply,city
it,after,719.04,skin,9.834,past,simple
save,himself,656.08,indicate,5.57,point,many
range,important,652.12,subject,0.661,I,not
life,respond,975.62,send,5.543,side,nearly
these,myself,668.67,they,3.194,oil,appear
after,different,514.13,commercial,6.953,tend,feeling
exist,hundred,243.31,camera,2.984,suggest,huge
trial,production,320.21,measure,4.423,lawyer,quite
far,increase,625.34,stuff,0.8,above,section
teacher,avoid,709.82,military,8.227,chair,develop
old,support,453.48,management,5.442,third,president
response,blue,213.64,major,7.495,assume,agree
despite,today,960.92,accept,5.369,news,most
their,exist,566.85,above,6.223,notice,win
create,employee,674.43,itself,8.093,stand,dream
light,since,767.59,fish,6.196,director,until
baby,major,301.89,maintain,8.2,treatment,ask
radio,it,359.51,it,1.162,tell,this
instead,reflect,567.62,head,3.449,least,third
support,her,150.24,American,4.995,serve,box
black,entire,533.4,stock,9.046,student,strategy
subject,word,370.7,seem,6.775,always,wall
type,mission,182.91,start,1.955,arm,pretty
day,matter,829.76,onto,1.176,into,check
already,they,773.56,hospital,9.384,Mrs,resource
else,short,738.97,provide,4.173,mouth,best
beyond,material,593.39,citizen,7.843,environment,spring
case,purpose,115.76,black,8.798,race,model
number,message,13.28,table,6.009,table,stuff
call,knowledge,932.39,newspaper,3.989,people,vote
new,win,665.17,school,6.463,forward,become
another,ahead,987.09,and,0.987,view,lawyer
own,organization,991.05,require,4.667,stop,hotel
attorney,response,200.88,event,3.593,range,writer
several,may,69.94,foreign,7.545,nothing,appear
movie,task,700.85,economic,4.509,dog,especially
class,interest,402.78,start,1.914,this,skill
head,important,103.44,career,6.302,section,author
same,religious,831.48,talk,0.198,floor,other
plant,firm,102.22,loss,5.164,so,sure
list,American,260.34,hear,4.349,probably,memory
huge,also,215.85,prove,9.764,attorney,prevent
necessary,indicate,629.52,water,1.592,effect,single
kind,price,270.83,design,3.443,activity,way
keep,center,235.55,teacher,7.474,feeling,every
situation,drive,29.15,really,9.294,film,eight
hand,religious,833.28,open,8.661,yes,fear
girl,form,358.93,record,3.822,total,south
school,play,575.8,vote,7.976,finally,lot
style,friend,517.25,receive,1.665,seek,Republican
class,apply,328.29,part,8.985,magazine,property
serve,accept,19.28,attack,4.057,our,prepare
position,believe,926.87,yourself,7.289,player,century
people,report,770.74,pattern,5.421,thus,simply
blue,move,807.94,lose,7.957,team,cell
billion,person,504.28,machine,2.951,field,million
trouble,nor,390.86,century,3.403,stop,contain
north,down,229.93,your,3.741,easy,head
run,bed,515.66,evening,2.078,pass,contain
experience,animal,756.18,fear,4.272,me,never
sister,listen,31.84,TV,7.984,either,several
media,give,350.81,rule,1.739,feeling,house
debate,back,82.85,huge,9.362,speech,simply
opportunity,I,731.69,here,8.14,east,sound
themselves,easy,751.24,behind,2.563,newspaper,modern
start,culture,814.85,yeah,1.986,according,future
occur,whose,214.91,difficult,8.666,reflect,although
TV,clearly,790.67,exactly,8.272,church,after
write,century,77.09,moment,7.725,fine,fast
seek,left,749.95,product,8.071,property,most
office,serious,157.57,top,5.171,common,since
good,five,45.36,call,3.313,public,would
whom,various,721.06,use,3.762,building,pull
deep,he,552.62,task,3.522,capital,certainly
place,management,355.4,expect,3.586,newspaper,challenge
serious,attorney,809.16,pretty,8.878,yard,tough
join,ahead,980.22,here,8.939,themselves,quality
either,determine,376.91,piece,4.479,always,significant
security,sign,307.63,court,3.646,suddenly,finally
tax,key,681.35,staff,1.189,society,mention
discussion,drive,746.92,body,1.686,unit,him
student,environment,657.24,threat,3.498,yourself,hour
during,so,367.66,situation,9.708,often,firm
against,place,367.76,candidate,1.767,push,personal
yard,from,957.05,treat,8.651,affect,my
prevent,bit,13.99,factor,5.646,few,wear
less,fact,994.97,phone,6.552,evening,across
avoid,deep,285.21,price,4.145,year,record
into,nice,714.3,report,2.323,prepare,some
dream,someone,546.34,crime,8.119,early,energy
inside,shoulder,890.69,maybe,5.134,industry,college
least,quite,968.0,up,8.697,article,crime
foot,wall,262.47,teacher,0.726,smile,human
almost,best,327.59,now,4.412,skill,specific
arrive,class,652.41,his,8.496,crime,man
identify,she,275.62,his,9.835,each,human
this,yourself,324.16,ten,4.526,develop,report
eat,season,210.51,property,6.411,form,possible
green,bar,87.1,necessary,5.965,girl,moment
best,pay,543.09,down,9.76,light,we
simple,city,963.72,again,9.247,reveal,simple
do,beautiful,582.05,moment,6.361,evidence,full
smile,develop,455.03,bed,7.792,throughout,author
election,those,449.02,sit,9.258,term,nice
radio,worry,861.32,anyone,5.617,certain,similar
grow,cut,49.6,keep,8.291,large,pretty
human,whom,205.4,interview,3.411,drop,eight
result,near,146.12,as,6.925,apply,beat
evidence,also,493.64,table,7.851,writer,economic
know,expect,651.07,degree,1.44,quickly,social
beautiful,hope,847.08,accept,4.065,return,teacher
quite,then,787.88,outside,5.471,mean,ago
purpose,month,364.77,mother,1.893,style,leader
responsibility,thought,689.49,so,6.144,speech,rate
term,magazine,643.47,eye,2.528,effect,risk
according,identify,676.83,opportunity,8.594,speak,reality
fall,beat,416.46,two,8.597,word,ahead
ahead,president,83.54,deep,0.806,exactly,charge
small,important,612.75,forward,3.62,room,realize
fund,rather,873.59,conference,0.969,final,right
hot,no,890.53,prove,0.739,beyond,next
establish,lot,711.87,player,1.336,why,music
discuss,from,543.66,understand,5.259,street,you
scientist,decision,107.62,consider,0.653,prepare,look
positive,interest,787.59,top,8.694,card,us
rise,pretty,280.74,whether,6.556,since,grow
baby,rock,337.69,may,3.247,music,wide
perform,recognize,119.51,day,4.439,center,indeed
or,director,868.5,difficult,7.129,explain,picture
center,growth,298.68,seven,0.575,ground,particularly
space,close,430.87,per,8.403,her,strategy
keep,game,502.58,resource,7.701,later,contain
almost,talk,227.13,lead,3.23,order,lead
weight,occur,175.75,different,4.485,determine,per
purpose,safe,445.73,color,3.105,able,around
buy,whose,494.76,station,1.293,say,help
heart,help,316.63,perhaps,8.541,child,million
as,throughout,959.56,only,4.089,size,hour
age,eye,342.86,customer,6.465,change,part
nor,same,905.3,behavior,7.997,cold,begin
animal,social,352.67,beautiful,5.562,without,born
ten,challenge,631.62,wrong,8.29,gas,call
full,little,419.5,right,1.186,learn,least
agent,weight,966.65,similar,6.587,style,now
group,different,917.03,catch,1.216,many,remain
tell,bill,425.94,cost,8.809,executive,window
prove,hospital,820.09,computer,2.017,money,yeah
push,human,534.64,situation,6.008,head,population
none,number,2.75,improve,2.55,beautiful,finish
involve,boy,364.72,nation,0.962,subject,sister
fear,truth,176.48,not,2.296,concern,assume
difficult,six,883.95,budget,2.383,ok,magazine
hotel,mission,721.34,difficult,1.1,time,production
quite,determine,817.25,up,8.575,pay,during
education,modern,721.79,seek,1.898,space,price
still,beat,352.92,between,5.374,relate,continue
and,kitchen,940.48,no,3.939,avoid,everybody
attack,more,762.17,society,8.234,arm,any
during,hotel,444.07,challenge,3.634,various,perform
air,travel,153.59,subject,0.977,rise,center
analysis,west,624.5,change,5.393,industry,stop
remember,sing,448.03,cover,5.103,nothing,wish
avoid,west,282.38,race,4.509,project,I
book,any,127.44,century,6.197,measure,sort
executive,box,494.31,green,4.062,production,recent
risk,business,271.96,list,4.122,loss,week
study,expect,328.43,safe,2.8,kid,teach
color,education,407.68,war,5.449,life,eat
under,development,423.79,make,0.989,foreign,region
become,require,361.11,out,4.576,child,wall
these,force,965.54,material,3.601,main,production
apply,may,306.0,mouth,4.507,finish,in
enjoy,be,152.35,free,5.293,change,whole
wind,say,339.66,role,3.386,ability,story
lawyer,something,74.28,seat,1.533,risk,form
whatever,treat,79.84,one,1.258,professional,end
center,because,37.48,nation,7.453,also,then
source,try,248.04,of,1.185,decision,prevent
hold,body,133.81,energy,7.958,take,control
pressure,resource,863.88,available,2.0,blood,story
guy,then,477.99,effect,8.95,reason,guess
discussion,politics,419.83,pressure,3.858,wide,finish
instead,remain,301.66,record,5.341,suggest,score
after,energy,326.68,inside,5.447,need,course
their,my,560.64,early,2.776,once,small
show,everybody,838.55,land,9.783,leg,their
among,traditional,605.08,fear,9.737,agreement,account
former,happy,667.02,seek,3.483,measure,myself
significant,bar,613.6,several,1.298,direction,nearly
much,down,816.45,loss,1.57,visit,letter
before,approach,857.49,money,4.148,new,agreement
audience,guy,463.58,then,6.942,arm,organization
budget,since,603.05,popular,3.618,PM,carry
moment,significant,744.35,trip,6.128,hit,this
trial,charge,838.83,by,5.472,garden,none
show,door,38.09,national,0.703,experience,his
suddenly,politics,400.27,free,5.578,themselves,admit
now,call,220.7,table,5.883,cultural,within
ground,fight,203.08,her,0.712,key,condition
movie,plant,478.86,already,8.627,answer,reflect
dog,body,680.7,military,0.834,sister,increase
discover,story,611.66,focus,4.756,talk,accept
debate,coach,101.13,recent,8.876,him,prove
today,two,959.93,citizen,7.928,clear,assume
trade,authority,516.29,Congress,3.24,want,customer
change,yourself,828.69,risk,5.464,office,moment
common,decision,806.81,there,8.61,several,community
few,add,612.03,game,6.104,himself,fund
care,effort,742.41,fight,3.067,through,same
time,evening,10.29,cut,7.477,require,will
short,once,642.08,big,1.383,catch,phone
check,drug,321.2,less,7.572,forward,radio
quite,able,889.21,indeed,7.992,executive,although
less,together,978.63,may,1.735,goal,compare
road,drive,38.83,box,6.714,realize,nation
fire,magazine,736.58,end,0.741,bed,enjoy
throughout,reality,683.36,first,3.966,industry,through
however,ok,283.91,dog,1.789,good,look
box,late,848.16,walk,0.118,store,partner
practice,until,242.05,choose,5.43,protect,keep
both,dog,17.44,smile,9.263,opportunity,form
fight,move,822.32,whom,5.29,themselves,sure
bit,current,654.94,yet,4.222,grow,during
though,travel,32.27,close,1.804,physical,agreement
matter,forward,852.86,environmental,8.884,expert,low
hit,soldier,146.58,rich,6.036,none,down
big,believe,346.55,hope,8.54,spend,resource
town,what,887.26,treatment,8.039,response,become
child,song,957.99,beat,3.184,shake,century
vote,play,675.77,chair,7.012,rock,relate
study,win,178.9,to,0.79,line,future
under,game,504.69,management,5.229,decide,up
sometimes,entire,410.12,simply,1.751,tax,just
reveal,strategy,64.67,perhaps,6.582,law,walk
property,service,605.73,air,9.495,eight,mission
these,computer,302.24,dinner,8.695,rest,place
from,lot,397.04,social,8.52,big,education
skill,poor,643.63,discover,9.778,knowledge,concern
involve,choose,760.36,good,7.483,player,suddenly
free,tax,568.78,put,6.426,offer,down
treatment,how,218.5,will,3.505,realize,reason
simply,clearly,20.73,week,4.979,season,debate
speak,never,453.87,affect,4.355,artist,call
film,pressure,48.71,yourself,7.474,everyone,whose
out,worry,153.52,however,5.989,determine,read
cut,community,519.08,eight,8.3,long,present
fish,until,995.76,parent,0.585,ready,policy
fine,machine,302.63,change,1.882,foot,than
cultural,condition,421.67,opportunity,8.436,occur,along
huge,human,439.64,both,6.675,such,bag
with,summer,321.49,believe,1.193,room,machine
bar,reality,253.31,treat,1.579,form,kind
heart,strategy,672.71,but,8.847,kitchen,example
bring,six,704.09,space,2.768,over,now
eye,lead,121.57,present,5.913,space,current
if,brother,838.24,able,5.353,guess,measure
conference,animal,906.53,more,0.488,above,deep
require,society,354.96,south,7.348,light,central
raise,contain,95.7,letter,0.814,less,special
leader,beyond,891.01,remember,8.25,state,election
live,evening,55.89,increase,6.489,executive,traditional
price,car,464.53,response,9.511,forget,no
nature,floor,847.71,listen,4.648,local,teacher
senior,card,671.61,interview,1.368,sound,left
strategy,product,975.91,fly,8.88,event,yard
until,onto,767.13,himself,1.394,media,condition
two,speech,936.04,that,4.345,girl,notice
election,water,126.65,address,7.324,yes,meet
great,question,747.97,draw,7.928,amount,candidate
wide,section,670.68,sing,4.368,paper,woman
ago,agency,49.34,nothing,2.176,important,hit
be,time,786.41,movement,5.421,large,blood
rest,stop,600.52,service,7.284,design,phone
street,middle,353.77,attorney,8.048,hope,region
from,who,970.45,wish,0.391,rule,create
trouble,example,870.22,project,8.908,allow,record
subject,matter,607.09,seven,4.851,least,affect
rock,according,772.81,child,5.435,source,goal
whom,go,258.09,it,3.439,practice,against
effort,common,402.69,south,3.044,thought,his
worry,also,790.94,challenge,0.771,of,do
wear,address,230.15,left,1.47,big,nor
go,yard,653.15,statement,1.175,story,save
later,push,680.74,glass,8.446,exactly,speech
pressure,happen,846.69,big,5.563,amount,purpose
into,world,350.78,nature,4.395,detail,huge
per,office,361.03,low,5.067,important,middle
phone,realize,455.72,range,1.575,serve,prevent
image,itself,301.51,late,4.796,mission,crime
care,every,233.58,attorney,8.377,sea,drive
front,night,912.59,who,0.623,notice,rock
board,stay,590.99,message,2.336,never,explain
Mr,child,330.19,fast,4.403,positive,measure
degree,civil,892.46,most,3.731,who,him
offer,physical,22.07,meet,9.65,each,physical
in,throw,88.58,then,8.703,himself,dog
big,between,375.06,argue,7.213,many,time
collection,paper,350.83,respond,0.122,next,green
return,benefit,320.92,subject,3.318,million,identify
remain,upon,426.65,need,9.804,by,spring
heart,project,702.36,wind,7.371,because,yard
work,although,823.08,learn,0.806,about,me
type,style,290.79,produce,9.733,soon,trip
always,maybe,622.63,product,7.941,crime,huge
force,wife,25.13,today,8.222,those,image
once,line,797.79,modern,3.299,especially,else
security,black,812.43,fact,0.445,focus,speech
attention,read,88.48,successful,3.452,theory,respond
dog,west,871.57,attack,2.354,agent,ask
budget,discussion,388.51,word,2.991,official,interesting
article,near,271.39,but,3.099,science,pull
marriage,than,72.82,owner,5.621,between,former
truth,edge,865.56,art,8.384,news,where
top,order,641.19,right,1.056,film,deal
try,art,912.42,stuff,1.943,nothing,production
professor,between,678.21,garden,5.855,mother,north
professor,debate,985.25,house,6.611,hot,success
herself,area,93.31,wear,9.525,note,occur
produce,fund,1.44,bring,8.306,yet,paper
when,successful,361.16,never,5.05,move,effort
beautiful,show,971.13,language,8.463,modern,could
person,pull,321.21,forward,2.869,leave,phone
five,financial,13.21,individual,4.853,house,physical
city,million,625.45,senior,7.907,tax,trip
true,size,139.16,face,1.509,civil,main
play,appear,104.98,guy,3.745,season,much
realize,skin,91.79,red,7.299,once,without
herself,past,926.96,television,1.313,least,both
military,focus,109.33,source,6.51,page,stop
responsibility,painting,833.17,weight,2.936,dream,edge
research,woman,970.36,fall,1.501,mind,so
data,article,959.73,answer,2.37,tell,relationship
offer,between,958.78,cost,7.133,enough,use
cold,relationship,27.72,mother,2.447,fight,check
exactly,space,162.67,soon,4.302,group,course
too,we,39.73,owner,9.706,song,statement
color,message,749.99,toward,2.145,increase,some
blue,peace,899.91,must,8.964,seem,least
gun,west,770.35,door,1.887,would,budget
hotel,hospital,289.67,must,5.338,outside,leave
black,operation,271.14,get,6.257,thousand,real
away,newspaper,619.84,figure,6.414,those,guess
population,off,405.3,of,7.32,leader,product
make,best,549.98,another,9.636,onto,run
build,ready,240.97,data,5.133,use,star
truth,board,897.97,future,5.747,then,water
east,leave,914.09,notice,5.01,cell,kind
writer,if,589.33,to,3.563,year,official
tax,enter,662.91,study,4.68,attack,south
well,road,654.5,lawyer,5.775,shoulder,above
because,seven,262.13,listen,4.377,add,thank
easy,marriage,301.49,training,1.745,student,be
other,send,142.14,federal,4.712,later,then
hundred,their,339.69,necessary,2.16,turn,maintain
treat,treatment,134.84,system,1.234,sit,crime
brother,certainly,868.88,Republican,3.64,old,Mr
much,organization,569.38,ability,3.872,bar,consumer
money,successful,815.41,small,1.2,identify,hotel
management,hold,697.5,event,4.406,more,how
moment,all,325.17,six,1.217,never,memory
any,certain,704.84,fast,7.117,field,become
the,threat,200.97,ability,2.051,character,food
defense,political,557.85,type,4.836,study,friend
year,including,915.09,blood,1.045,skill,soon
information,section,53.64,development,4.933,hear,forward
want,shoulder,72.9,side,1.775,fly,recently
second,hear,992.0,discuss,8.881,lose,fund
report,yourself,177.06,goal,5.887,set,key
time,exactly,336.79,whole,7.343,perhaps,official
above,natural,320.41,ready,2.321,memory,turn
sister,right,55.1,garden,5.376,meeting,deep
couple,girl,573.32,interview,0.137,cell,peace
wrong,near,152.62,position,9.295,artist,store
at,professor,513.38,growth,7.643,during,why
go,agent,778.76,finish,1.989,once,difficult
age,where,158.58,her,3.617,oil,these
stand,discover,819.26,he,3.268,professor,civil
protect,direction,779.86,bank,8.503,listen,build
inside,shoulder,559.89,test,2.562,nice,war
movie,air,935.83,the,7.622,perform,he
card,street,941.9,medical,6.794,nation,degree
buy,federal,955.12,none,9.009,tough,seek
charge,century,948.09,anyone,9.489,analysis,great
development,medical,63.99,forget,3.535,section,serve
per,sign,402.37,science,1.847,plant,play
market,later,114.65,action,7.962,probably,later
since,weight,610.76,what,9.787,explain,central
low,specific,628.41,opportunity,5.138,military,he
evening,catch,254.01,travel,8.18,charge,rich
spring,report,154.05,live,6.258,contain,use
politics,near,230.1,possible,4.493,away,our
add,year,556.56,finally,0.378,over,type
how,want,282.3,practice,4.029,modern,apply
left,mean,716.61,person,7.849,trade,describe
age,between,101.76,cold,9.546,partner,sure
writer,end,74.94,group,2.123,pretty,relate
from,specific,665.03,produce,0.813,cold,investment
full,nor,22.44,goal,8.921,police,deal
report,artist,210.34,imagine,6.241,better,party
military,election,893.14,economic,6.044,beat,nothing
sea,maybe,426.25,community,6.692,modern,address
than,control,647.94,company,8.516,around,wear
research,join,405.68,so,2.733,form,contain
establish,commercial,487.77,democratic,0.84,market,open
but,green,965.2,service,5.842,everything,market
run,as,706.29,live,6.012,drive,use
run,individual,82.44,then,1.069,sing,understand
buy,child,809.1,wear,7.159,war,quality
building,a,461.67,picture,2.113,expert,seem
watch,paper,622.59,firm,8.889,beautiful,fine
field,somebody,767.58,bar,2.489,artist,up
democratic,friend,39.99,rest,2.736,few,see
popular,power,606.69,market,6.684,prove,movement
impact,rate,693.68,sort,1.958,right,look
office,day,790.8,recently,9.51,stand,garden
stuff,each,959.84,before,1.612,player,specific
at,newspaper,308.15,put,8.019,professor,fine
ground,table,428.74,nice,9.502,group,weight
ground,sense,361.33,likely,0.703,claim,effort
knowledge,exactly,726.8,three,5.513,tonight,happy
partner,anything,624.41,production,8.211,general,group
service,by,871.76,reality,9.246,really,culture
range,author,375.01,newspaper,4.085,clear,energy
marriage,two,943.3,concern,1.766,where,growth
eight,truth,427.6,picture,6.835,right,story
grow,apply,446.82,beautiful,4.09,hundred,everybody
compare,place,65.09,everything,8.196,executive,learn
short,owner,6.92,across,5.01,participant,heart
realize,remain,298.61,shoulder,5.112,foot,policy
star,seven,170.51,media,3.589,eye,either
meeting,per,71.12,place,3.709,under,cup
upon,plant,268.23,these,5.874,sport,one
democratic,language,995.14,above,1.599,vote,lose
night,list,146.5,good,2.876,pressure,become
talk,democratic,840.8,know,3.326,anyone,second
like,pay,801.18,strong,6.965,service,reveal
business,cause,199.42,sound,8.439,wait,cut
toward,administration,104.8,man,6.447,to,many
nation,commercial,84.6,simply,4.35,few,technology
special,say,398.5,build,5.816,between,sing
work,describe,631.92,have,0.608,gun,health
land,color,680.94,democratic,0.505,accept,buy
most,address,575.15,he,9.079,heavy,do
bring,guy,646.38,either,6.847,special,attorney
senior,my,368.51,writer,4.282,back,capital
agreement,wear,946.67,receive,5.979,become,knowledge
wide,life,362.95,test,5.639,unit,finish
government,green,188.34,type,7.586,shake,information
administration,put,221.14,among,3.69,defense,citizen
way,try,871.13,game,7.78,wonder,star
policy,table,933.73,author,1.312,sit,paper
heavy,we,509.16,response,6.384,ten,site
painting,southern,926.61,three,2.311,walk,hear
quite,so,872.76,nearly,6.146,he,already
message,myself,681.93,strategy,7.975,book,third
page,that,723.02,enough,0.207,item,whom
tree,parent,74.41,evidence,7.253,side,economy
season,education,241.96,time,9.596,claim,order
animal,early,167.97,current,5.861,interesting,former
country,write,41.46,look,0.509,room,how
their,occur,760.82,collection,5.931,laugh,such
policy,responsibility,651.19,meeting,4.063,leave,less
buy,wind,211.05,election,1.551,major,feel
minute,behavior,552.63,special,8.634,hard,economic
beyond,friend,805.24,threat,1.448,free,fall
determine,morning,913.9,play,5.949,trade,across
gun,investment,954.05,ground,6.838,so,hope
receive,her,376.16,thought,0.366,man,condition
natural,nation,723.45,finally,3.605,evening,nothing
option,song,264.28,free,6.566,power,put
nearly,national,700.69,quality,8.309,spring,once
participant,strategy,142.25,remember,2.455,partner,whatever
this,across,475.91,chair,2.116,college,oil
theory,ever,780.74,evidence,8.13,close,may
record,establish,35.46,adult,9.658,strategy,poor
woman,foot,617.18,hotel,9.314,senior,reduce
ball,brother,195.45,market,9.129,four,back
high,hour,671.01,stuff,6.193,mission,thousand
loss,fund,384.59,run,1.826,visit,dog
without,such,483.07,hard,6.7,choice,year
agency,not,289.67,during,4.064,career,again
word,whose,170.0,standard,1.583,knowledge,financial
national,window,234.28,read,1.448,necessary,term
blue,else,210.82,wish,0.513,true,every
break,wait,59.78,next,4.792,throw,fast
dream,article,925.04,challenge,4.765,democratic,which
admit,interest,488.1,way,7.11,three,leg
class,end,42.72,reveal,9.709,test,toward
candidate,current,742.42,note,4.164,view,world
themselves,black,571.3,building,8.499,performance,maybe
anything,father,145.49,newspaper,0.755,television,design
theory,too,22.67,main,6.216,financial,son
agreement,police,756.64,reduce,2.419,floor,away
according,approach,150.26,Democrat,2.953,range,police
series,later,689.81,start,3.25,condition,technology
decide,mean,933.15,herself,7.547,toward,fill
water,north,220.3,off,3.061,Mrs,concern
price,ahead,247.5,again,0.264,accept,you
action,fall,255.14,blood,7.056,probably,commercial
suffer,ball,625.11,seat,5.49,require,who
common,despite,450.67,though,5.043,community,century
oil,guy,424.16,instead,2.118,study,kitchen
language,similar,821.09,staff,3.039,strong,floor
debate,sit,663.45,strong,8.45,face,night
shoulder,fear,418.58,suddenly,2.266,moment,officer
leave,great,765.29,this,2.175,if,believe
oil,pressure,407.55,chance,3.974,here,book
which,head,326.18,rather,5.097,reason,prove
cause,energy,518.27,pressure,5.435,attorney,draw
at,face,341.21,owner,8.144,season,media
fish,do,594.33,debate,5.407,friend,brother
half,respond,331.6,fear,6.037,land,evidence
plan,start,699.82,easy,5.054,old,serious
bring,prepare,405.19,sea,9.25,great,back
Mrs,usually,296.77,federal,3.933,be,city
money,nation,594.47,be,5.842,mother,believe
summer,test,196.02,already,5.052,down,deep
law,room,585.54,indicate,7.775,customer,month
event,chair,305.47,trouble,7.572,car,learn
identify,training,820.59,meeting,7.714,focus,cup
low,weight,44.65,security,7.248,loss,church
opportunity,show,747.08,central,2.406,challenge,begin
although,wrong,232.9,prepare,8.209,majority,reason
require,issue,649.4,performance,6.722,safe,role
knowledge,particular,424.94,player,4.643,eye,class
close,turn,719.62,report,5.278,need,ever
civil,industry,18.91,street,5.399,wonder,development
agreement,black,96.05,for,7.837,actually,expect
spend,heart,913.16,she,1.52,could,someone
growth,from,198.65,push,1.263,start,last
ago,conference,406.34,interest,9.978,president,article
make,upon,980.18,fight,6.541,identify,southern
network,care,717.0,style,9.058,great,fish
let,next,523.05,now,2.098,interview,item
couple,audience,928.25,likely,2.622,begin,fact
apply,ability,489.4,upon,0.486,art,help
health,thing,398.45,central,5.205,more,college
worker,environment,248.78,rich,1.743,morning,eat
politics,itself,103.46,decide,5.595,whether,wait
option,can,480.78,model,5.476,but,nice
defense,agreement,155.53,consider,4.33,thing,mother
traditional,hand,298.16,former,0.289,piece,box
must,either,635.87,say,7.852,half,risk
training,minute,897.31,able,5.071,product,dog
store,yeah,770.52,spring,2.062,summer,opportunity
second,base,982.16,task,4.235,world,shoulder
suggest,top,126.69,various,5.634,his,continue
act,area,408.7,space,9.148,generation,wife
across,school,315.78,present,1.34,model,station
score,decade,522.44,great,0.172,individual,main
be,cold,936.16,carry,2.615,large,citizen
ask,house,177.21,himself,1.074,what,throughout
suddenly,lose,857.29,list,7.723,not,up
finish,me,756.91,increase,9.305,local,culture
well,campaign,772.84,or,4.193,her,safe
yes,cold,773.14,always,0.7,spend,beyond
stay,entire,267.71,get,0.148,second,rate
reality,claim,319.66,theory,8.698,beautiful,agree
poor,window,905.74,whether,4.464,available,account
take,yet,911.17,first,9.77,before,range
hot,hundred,618.91,us,6.538,occur,development
behind,carry,181.77,media,0.163,television,feel
two,edge,189.33,who,0.49,skill,safe
start,build,202.09,public,9.762,look,mission
allow,civil,522.26,myself,6.555,if,heavy
four,second,383.0,during,4.338,entire,investment
Mrs,brother,614.39,himself,4.624,test,in
determine,wonder,642.16,rest,3.304,personal,modern
very,under,555.2,team,8.371,painting,catch
camera,after,772.53,far,8.3,stay,office
person,old,887.55,a,9.879,soon,so
fly,open,452.86,safe,3.558,worry,onto
over,ok,869.64,beautiful,6.733,federal,pretty
arrive,eight,145.76,number,1.828,already,work
that,full,147.27,action,1.864,my,role
simple,hot,398.16,Mrs,4.159,only,mother
eat,any,913.81,new,0.413,full,employee
life,surface,694.38,everything,4.313,visit,receive
