refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
wish,be,hotel,science,number,780.59
difference,wonder,lawyer,role,sound,516.17
red,experience,practice,land,citizen,671.03
certainly,clearly,music,still,glass,814.55
do,success,national,ability,chair,727.28
talk,professor,baby,newspaper,long,734.44
would,like,pull,relationship,treatment,572.03
debate,real,trouble,remain,color,57.76
view,outside,lawyer,tonight,collection,659.19
open,them,senior,group,manager,319.51
add,instead,tell,mind,whose,295.92
thing,unit,day,add,this,972.34
father,sense,question,expert,five,222.83
newspaper,trouble,future,generation,worry,443.56
against,contain,central,total,something,68.35
side,clear,military,shoulder,art,583.28
field,heart,political,player,discover,818.38
base,race,detail,case,form,881.84
pick,exist,hear,hair,visit,725.41
significant,hospital,government,style,standard,717.35
good,just,every,section,hospital,138.01
interview,fast,keep,tree,suggest,309.05
within,understand,federal,account,represent,963.34
something,practice,subject,throughout,few,622.4
dog,last,side,world,right,590.46
similar,trouble,most,contain,almost,866.04
herself,hour,mean,especially,through,620.62
pull,training,as,reality,girl,712.4
concern,reason,apply,gun,interview,875.78
hope,yard,region,indicate,already,907.45
everything,about,know,ever,know,213.58
front,teach,note,you,involve,24.22
answer,bit,return,seem,stop,937.93
suggest,success,over,enter,anyone,285.46
student,citizen,age,available,skin,49.65
add,available,training,shoulder,human,510.21
appear,reflect,ready,against,anything,98.09
knowledge,partner,note,clear,affect,802.2
region,black,everything,section,here,907.61
total,coach,light,whose,help,995.33
pick,trouble,garden,goal,national,403.56
pull,century,reach,book,record,507.78
party,water,least,agreement,election,955.22
project,everything,good,others,audience,684.99
former,matter,will,food,when,703.68
any,lead,but,police,own,305.07
history,player,eight,majority,return,48.75
student,every,according,sign,by,557.52
four,sit,left,coach,whole,622.61
military,far,tax,never,investment,612.28
movie,hand,treatment,third,television,926.72
walk,skin,yes,law,top,334.96
provide,difficult,hair,do,enough,310.98
care,really,enter,call,key,180.13
card,room,enjoy,recently,represent,855.8
law,although,early,step,choice,815.69
black,thought,pass,series,buy,968.93
throw,southern,ok,long,black,225.68
second,people,nearly,every,protect,436.64
like,admit,worker,hour,reason,145.85
service,country,fire,rule,against,691.54
protect,during,live,score,act,420.42
seek,let,yard,under,sort,730.44
that,appear,show,everyone,sort,308.56
collection,right,leader,base,movement,752.12
table,class,edge,million,under,525.95
air,nothing,accept,interview,among,630.8
media,almost,second,someone,similar,2.92
make,many,their,sure,model,765.87
interview,including,probably,national,force,255.15
give,collection,four,side,do,616.75
safe,school,tax,moment,suffer,666.93
relate,another,ready,deal,own,33.73
middle,design,impact,exist,here,787.96
reason,left,picture,to,forget,165.81
fine,address,movement,picture,partner,672.98
us,attack,TV,manage,central,167.61
parent,member,shoulder,strong,administration,315.92
there,although,their,campaign,economy,265.19
cover,it,office,up,person,649.15
toward,stay,middle,street,raise,808.9
effort,want,my,three,cup,268.85
industry,race,once,wrong,improve,951.25
decade,laugh,look,show,increase,66.82
few,financial,wear,because,apply,914.35
blood,that,stuff,anyone,capital,6.09
fly,look,art,arrive,arm,609.26
board,need,bill,main,sign,260.73
pull,value,safe,long,treatment,784.98
whether,eye,author,adult,color,120.37
event,school,son,ground,painting,420.14
probably,people,interest,rather,expect,475.79
per,amount,account,brother,only,726.57
brother,when,maintain,ok,political,516.48
thousand,watch,federal,mother,school,740.6
education,specific,take,admit,we,228.91
view,anything,simply,push,model,211.1
energy,off,owner,hard,bad,108.08
water,list,modern,skin,those,832.11
read,risk,after,tell,heart,93.49
organization,subject,manager,feeling,road,104.79
economic,floor,simply,fill,take,708.51
despite,bill,center,meet,share,709.68
now,score,movie,sometimes,onto,402.35
relate,see,continue,visit,cut,404.22
free,you,news,despite,carry,769.3
will,line,several,there,item,658.04
Congress,big,cup,now,believe,308.03
unit,memory,page,opportunity,billion,799.96
certain,bad,similar,say,theory,216.58
east,author,bill,money,understand,77.16
quickly,sell,social,after,method,128.63
window,central,carry,half,score,392.87
become,audience,item,environment,your,784.68
national,paper,former,middle,future,344.21
only,fish,agree,political,type,85.9
north,bag,player,future,card,22.51
remember,media,part,town,method,36.62
up,enough,change,window,hundred,654.42
morning,alone,budget,than,first,309.86
garden,scene,suggest,action,field,110.94
clear,building,assume,note,one,145.35
small,structure,mother,whom,similar,402.32
scientist,price,their,and,all,687.71
rise,simple,career,fact,party,362.89
strong,important,war,consumer,increase,109.57
look,knowledge,dog,main,employee,684.14
political,half,strategy,child,left,759.17
although,resource,health,light,course,180.61
music,around,respond,build,happy,384.71
true,laugh,behavior,pretty,never,817.27
cover,economy,bad,onto,spring,69.69
similar,kid,fight,write,much,289.78
carry,rock,little,recognize,local,66.43
social,southern,rich,parent,much,369.96
not,hundred,everybody,join,million,532.9
exactly,tax,officer,report,themselves,824.58
still,employee,change,well,impact,933.73
protect,movie,suffer,personal,cover,811.24
forget,rate,region,either,day,122.57
resource,bed,bit,likely,according,10.69
measure,task,sort,center,scientist,931.2
job,score,hope,phone,any,320.99
scientist,entire,family,election,reveal,261.92
art,nation,mean,seven,behind,645.58
success,read,western,travel,seat,348.11
model,seat,with,east,media,159.92
knowledge,we,simple,during,organization,299.35
spend,item,beyond,system,rest,626.8
admit,national,friend,fill,message,620.28
let,difference,such,Mr,mouth,648.69
fast,eye,tonight,street,bill,354.84
nearly,yet,very,thought,same,776.75
lawyer,effort,particular,how,under,393.82
find,commercial,choose,different,him,275.16
place,card,but,help,look,26.23
program,treatment,floor,race,perform,505.32
structure,list,condition,money,just,944.26
Mr,state,tell,near,traditional,242.45
land,likely,stay,arm,agency,731.2
material,education,develop,community,buy,734.96
attention,machine,century,return,bring,732.03
how,ago,eight,spend,a,395.86
room,commercial,just,wonder,ground,757.42
wish,student,system,as,three,733.9
glass,within,human,fall,argue,208.72
move,ok,watch,fine,contain,424.61
increase,everybody,treat,single,article,407.78
throw,safe,must,real,before,657.42
everybody,later,against,in,nice,971.09
information,wind,close,cause,traditional,365.63
paper,style,fear,present,away,458.3
officer,agree,those,night,themselves,442.54
method,crime,baby,pick,benefit,601.27
say,security,oil,six,card,561.19
bag,mouth,capital,office,action,286.8
increase,even,language,room,market,783.44
house,allow,human,believe,public,858.7
get,instead,street,contain,yes,190.62
where,recent,feel,guess,name,224.72
property,force,share,follow,debate,983.06
rise,respond,common,try,moment,406.13
plant,phone,play,likely,together,786.96
home,role,goal,lot,miss,442.25
teacher,free,voice,true,space,318.0
case,teach,fire,hard,owner,850.28
among,paper,note,onto,play,388.17
ability,color,story,play,edge,511.69
leg,recent,share,available,bill,470.36
doctor,during,peace,thousand,eat,158.45
wall,yes,bag,career,fall,680.63
create,itself,happy,score,course,272.49
finish,past,thank,body,treat,669.5
economic,number,wish,win,kid,89.0
standard,beat,suffer,adult,might,430.68
shoulder,establish,behavior,key,must,369.41
perhaps,piece,reason,fly,yard,711.18
point,air,prepare,again,issue,93.14
now,mention,unit,camera,decade,704.59
economic,voice,fine,three,relationship,403.77
media,shoulder,response,skin,ability,771.18
themselves,human,arm,recent,consumer,849.1
tonight,reality,consider,his,then,164.29
respond,turn,contain,camera,make,5.18
free,former,language,race,effort,36.61
call,few,husband,rest,and,291.49
often,official,while,true,power,851.81
food,relationship,once,choose,show,185.31
trial,evening,wind,alone,finally,906.56
institution,decision,reality,beyond,good,349.66
bar,guy,evening,century,reach,289.35
music,majority,community,media,price,600.66
guy,none,pattern,local,magazine,551.34
enjoy,I,body,quality,tax,712.84
everyone,provide,score,pretty,benefit,689.58
international,ball,add,one,party,683.91
dinner,within,store,player,air,796.15
scene,yourself,may,factor,wall,978.43
seven,southern,need,music,administration,654.57
during,car,why,number,gun,766.7
design,bag,enjoy,include,manager,700.68
star,coach,good,eight,sing,350.9
table,her,table,decision,about,272.81
paper,difference,three,apply,he,375.54
fund,over,author,study,analysis,499.63
relationship,movement,western,situation,evening,71.38
long,ten,great,mission,suggest,810.35
assume,certain,assume,how,national,522.04
kitchen,generation,happy,government,word,439.35
return,land,positive,how,dark,114.19
identify,success,change,professional,vote,637.78
man,sort,actually,check,sort,604.82
service,draw,culture,notice,democratic,687.27
suggest,indicate,trouble,TV,live,435.26
picture,lead,book,character,various,977.42
ever,production,prevent,industry,receive,978.31
summer,like,four,foot,space,283.48
size,just,assume,enjoy,teacher,632.67
about,case,plan,base,two,602.09
unit,benefit,yeah,out,bag,128.17
analysis,single,dark,move,activity,72.33
but,perhaps,single,economic,out,931.45
Republican,car,significant,fly,could,641.75
begin,find,share,close,drug,737.15
statement,too,religious,PM,despite,610.66
hotel,month,agency,scientist,worry,838.94
campaign,you,own,beat,state,540.68
purpose,middle,detail,throw,benefit,489.33
suggest,dinner,forget,various,affect,673.0
court,yet,mention,former,before,332.79
everything,forward,give,decision,campaign,69.95
nor,key,ask,to,quickly,97.63
whether,parent,mind,term,make,876.59
involve,contain,center,up,score,828.43
hope,model,anything,history,especially,767.68
somebody,simple,energy,billion,answer,176.45
gas,may,hit,administration,process,681.07
again,toward,reveal,never,material,778.49
human,probably,learn,win,evening,826.45
decade,here,growth,staff,reason,320.12
agreement,write,car,marriage,work,365.26
player,likely,be,throw,civil,346.3
offer,less,drug,support,door,453.96
should,for,bed,computer,ready,599.02
moment,cost,officer,five,natural,656.59
prepare,ahead,participant,it,base,458.88
charge,condition,him,face,into,180.3
discuss,identify,common,example,news,335.39
apply,Democrat,suffer,cover,two,701.54
enter,concern,senior,herself,high,505.38
second,size,serve,officer,safe,24.57
best,consider,bar,cause,ahead,54.0
yet,for,animal,lawyer,church,993.37
however,energy,individual,whatever,travel,134.54
our,election,summer,step,lose,922.08
relationship,body,fall,morning,else,407.36
follow,natural,leg,walk,brother,316.96
laugh,movement,machine,center,tax,379.55
expert,seat,instead,through,blue,492.88
avoid,sing,very,allow,begin,34.4
organization,positive,up,son,many,325.54
your,too,table,dinner,challenge,923.29
determine,fund,best,read,cause,585.65
home,environmental,remain,there,popular,349.79
early,heavy,another,carry,traditional,339.28
address,line,hospital,executive,four,823.01
small,into,start,several,medical,344.91
fine,father,add,fish,can,744.18
ready,owner,then,what,treatment,348.74
this,issue,participant,official,whether,88.51
past,soon,simple,down,free,689.46
its,share,next,number,other,178.23
tough,right,while,list,yourself,231.59
true,almost,difference,game,drug,228.6
agree,note,assume,mind,might,445.8
scientist,past,set,listen,under,179.14
government,firm,meet,baby,black,426.92
environmental,each,assume,fast,better,451.46
and,yet,quite,late,spring,897.89
avoid,president,change,but,space,400.05
involve,program,southern,skill,small,553.23
fear,statement,imagine,city,safe,577.71
room,player,little,beat,piece,410.81
senior,also,reduce,else,case,271.93
defense,stay,reason,school,build,605.12
write,area,bar,any,property,584.95
here,officer,book,pull,kind,348.53
lead,group,else,opportunity,join,155.22
keep,able,meeting,produce,far,929.24
admit,season,morning,same,institution,148.8
thing,realize,only,us,lawyer,848.39
letter,already,society,also,standard,707.91
owner,policy,into,sort,thank,958.91
player,southern,respond,we,look,311.29
question,dog,trade,store,drop,146.57
lead,reflect,trial,tonight,seven,98.9
trip,ago,boy,understand,group,922.87
allow,only,apply,actually,not,613.27
office,off,kitchen,natural,church,800.5
three,nature,president,arm,food,137.09
design,difficult,season,quite,college,560.89
direction,peace,on,garden,country,588.8
customer,table,leg,executive,for,590.15
west,significant,size,agreement,response,762.24
social,usually,day,stuff,about,216.91
peace,network,simply,mission,resource,309.08
simple,office,likely,consumer,big,150.43
arm,address,candidate,wife,its,922.58
myself,force,two,outside,fear,715.27
cut,traditional,dinner,success,six,166.59
tough,employee,clear,official,ready,458.22
away,party,learn,bar,later,728.09
information,democratic,very,year,soldier,413.69
language,realize,quality,affect,result,79.25
force,set,remain,style,reveal,548.13
loss,include,change,sometimes,also,527.58
turn,expect,we,front,school,416.45
student,clearly,be,job,common,79.16
begin,thank,activity,study,against,67.22
major,southern,employee,pass,development,678.53
require,model,step,course,sometimes,232.97
radio,firm,away,page,than,982.02
reveal,gas,trip,affect,individual,597.61
poor,college,whether,help,work,335.71
local,reflect,police,us,catch,204.16
by,which,floor,difference,crime,62.69
large,fall,pretty,herself,TV,633.92
pretty,environmental,as,son,mission,660.48
leader,remain,claim,outside,daughter,270.98
forget,represent,no,strategy,fast,242.16
information,thank,by,office,keep,981.43
with,like,bad,country,leg,285.2
maybe,energy,maintain,beat,office,472.6
hundred,sense,close,thus,dog,852.07
wide,radio,worker,across,young,920.06
option,who,become,card,respond,159.94
weight,and,partner,gas,visit,311.02
agree,everyone,who,professional,surface,141.94
money,wife,middle,hospital,report,289.55
treat,manage,individual,everybody,information,450.09
decision,goal,parent,chance,special,179.25
million,ever,knowledge,if,behavior,223.1
long,rise,trip,writer,deal,240.34
protect,southern,skill,expert,then,941.86
threat,item,within,appear,actually,825.41
man,Republican,ever,most,whose,59.75
should,this,start,history,black,392.8
black,natural,her,business,art,400.86
very,if,put,human,market,833.93
discuss,design,amount,what,we,406.75
a,argue,hope,since,marriage,56.46
least,car,economy,significant,hope,212.12
product,safe,dog,yet,loss,378.51
myself,glass,less,her,but,416.97
executive,event,smile,sister,five,250.5
develop,magazine,religious,good,development,673.05
remain,look,day,other,dinner,502.07
visit,carry,dog,hotel,whether,518.13
if,painting,believe,care,Mr,177.25
everything,special,say,bag,black,780.21
change,this,smile,vote,success,977.11
station,our,participant,hour,cell,139.71
population,accept,job,visit,lay,691.07
level,Mr,hour,up,couple,484.38
once,western,small,movie,onto,368.65
very,model,wide,detail,glass,850.48
risk,establish,threat,plan,in,629.81
cultural,report,within,assume,probably,465.37
purpose,bring,him,kid,charge,241.76
manager,us,plant,rule,political,900.7
order,state,inside,nearly,different,307.3
accept,economy,gun,reduce,recently,798.88
think,increase,own,baby,lead,91.47
recognize,author,task,cold,east,171.8
in,again,newspaper,several,official,402.21
show,arm,sign,happy,hold,382.17
her,defense,player,particular,reality,800.19
student,focus,operation,black,cold,63.23
agreement,some,manage,animal,prove,337.1
glass,term,best,bring,ok,610.23
goal,help,reduce,upon,eye,805.13
science,stop,seem,despite,word,227.81
seem,onto,increase,successful,manage,506.77
training,fill,design,market,she,461.65
prepare,Republican,look,should,piece,261.73
not,center,court,art,ok,852.26
care,thus,then,at,difference,79.71
ball,or,until,he,since,263.61
mean,black,fish,able,number,446.96
week,against,arrive,sing,find,517.26
appear,wrong,contain,college,movie,688.81
memory,board,free,partner,teacher,99.26
style,city,analysis,price,culture,204.99
weight,service,identify,many,benefit,75.07
house,arm,family,want,least,684.45
worry,born,today,structure,set,635.83
view,occur,size,fill,student,800.15
even,off,red,pay,sit,804.52
from,necessary,control,marriage,still,232.59
call,result,hotel,national,smile,111.99
let,customer,weight,far,interest,40.43
interview,together,impact,region,rock,829.44
behavior,ten,trade,student,understand,797.32
activity,fine,word,player,order,792.8
summer,reveal,opportunity,radio,parent,615.1
debate,case,event,or,tend,68.48
likely,what,point,picture,determine,698.79
performance,us,if,write,peace,936.05
window,even,politics,next,ready,651.83
morning,nature,rise,term,too,709.09
sort,let,north,believe,store,539.65
may,toward,sound,could,yeah,668.91
gas,fall,lose,wait,cup,290.09
southern,them,nor,artist,enjoy,871.02
no,whose,check,leader,official,528.32
ability,consumer,consider,laugh,when,291.52
prove,discuss,such,staff,tonight,177.04
game,space,pass,best,our,250.26
vote,type,for,control,all,325.74
notice,station,value,could,media,916.62
international,pattern,church,rather,wind,655.55
media,plant,over,try,language,760.44
store,get,event,better,the,926.17
thing,lay,measure,condition,free,777.82
accept,add,instead,its,mention,727.11
maybe,want,sort,strategy,friend,83.78
force,budget,send,north,stock,150.0
activity,huge,effect,seat,real,463.56
realize,door,my,project,mother,329.91
sea,off,drive,notice,fast,777.16
discover,organization,here,strong,quite,795.81
hair,without,top,scene,second,346.91
impact,quite,during,cold,pay,511.55
work,total,could,sea,fast,993.79
process,kid,huge,certain,say,735.47
later,remain,however,can,whatever,397.45
simply,inside,argue,answer,child,616.18
mouth,inside,place,million,customer,834.91
wait,mouth,model,not,especially,363.11
money,left,yeah,medical,sense,501.24
environmental,adult,than,chair,sure,832.68
moment,cell,low,like,floor,936.77
speak,resource,score,camera,whom,643.98
center,expert,though,child,who,387.33
start,alone,mean,morning,task,171.78
project,argue,officer,coach,party,297.89
arm,discover,thank,lot,modern,159.26
what,dinner,network,whom,challenge,504.41
good,authority,really,store,support,761.26
least,wonder,find,later,food,465.89
democratic,she,herself,there,despite,65.91
foot,brother,policy,beat,citizen,101.45
respond,claim,value,college,before,641.94
Republican,factor,long,small,fact,592.32
really,another,response,well,blood,80.4
quite,kitchen,professional,action,lose,473.66
option,network,main,water,left,241.63
president,project,strategy,speech,glass,101.73
sort,section,worker,to,consumer,846.13
mother,next,morning,kind,step,348.66
stage,chance,training,executive,free,333.51
it,act,deal,memory,issue,214.68
break,feel,heavy,suddenly,others,157.7
take,grow,though,sea,bag,83.0
offer,wait,fear,cup,recently,753.05
upon,campaign,pass,before,yard,974.67
western,act,natural,hear,practice,644.22
year,entire,record,ready,positive,297.64
tell,treat,relationship,inside,perform,455.49
Mrs,bag,buy,travel,hard,795.35
move,who,easy,prove,help,698.16
agreement,hear,leg,second,between,656.4
chance,color,blue,man,budget,780.24
mother,best,north,measure,although,633.66
drop,Republican,draw,here,brother,573.24
down,very,third,debate,author,603.06
why,can,store,social,bed,949.16
likely,security,present,conference,yard,197.82
even,air,development,defense,range,847.95
only,star,mother,tough,speech,782.76
happy,kid,agreement,movement,bank,310.46
deep,maybe,personal,soldier,use,557.48
sit,as,instead,effect,local,864.22
him,move,remember,determine,money,340.78
he,season,already,expect,education,791.18
week,after,officer,name,cause,73.7
anyone,above,clearly,structure,reality,726.37
religious,attack,Mr,everything,meet,123.54
price,else,enter,choice,party,769.9
late,size,may,issue,key,978.31
report,certainly,think,voice,cup,516.95
cultural,education,start,team,prove,120.2
send,thousand,respond,these,heavy,788.77
thousand,move,hair,ready,specific,105.65
author,tax,foot,though,wait,588.45
seven,scene,scientist,music,major,109.06
life,in,recent,act,movie,581.68
likely,discussion,when,gas,security,687.84
control,garden,start,people,relate,406.25
detail,street,huge,level,relate,383.62
identify,great,cause,thing,style,452.18
weight,season,foot,American,trouble,100.97
newspaper,rock,front,yes,this,84.72
unit,must,option,southern,compare,748.07
goal,age,base,board,strong,453.19
news,rock,most,yard,measure,537.87
performance,interest,prevent,particularly,another,638.89
player,daughter,specific,blue,star,566.37
how,light,indeed,he,deal,238.1
help,top,yourself,owner,cell,989.39
whatever,know,career,commercial,another,553.79
baby,need,evidence,from,century,924.46
issue,exactly,reason,good,he,920.87
detail,available,wear,whether,industry,186.94
institution,arm,remain,individual,democratic,420.6
often,why,heart,politics,box,143.49
yourself,study,ball,dog,two,936.61
care,fear,capital,hospital,expect,405.69
two,blue,wind,officer,single,473.97
world,admit,once,town,charge,289.61
believe,various,nearly,what,TV,778.21
movement,left,just,then,cold,454.27
kid,religious,authority,the,deep,805.72
on,success,challenge,offer,doctor,581.61
party,black,where,result,capital,258.82
natural,office,wrong,create,cultural,574.41
exactly,tend,knowledge,bit,south,727.13
hotel,miss,plant,know,society,548.12
south,heart,tell,describe,though,375.85
win,large,project,business,reason,848.83
pretty,responsibility,relate,he,any,698.35
as,cut,tell,season,fact,24.07
necessary,just,population,including,benefit,381.97
write,seat,worker,investment,may,494.32
sense,others,response,organization,most,621.67
mention,remember,writer,might,require,951.7
store,director,message,head,least,476.77
bring,couple,contain,while,piece,262.3
shoulder,can,ask,leader,series,699.73
there,already,despite,attention,structure,808.46
thank,budget,tree,glass,sound,898.74
site,year,section,role,billion,890.07
develop,exist,occur,training,second,125.7
all,third,event,message,rich,178.71
other,star,second,far,day,370.03
theory,hundred,respond,letter,culture,119.62
force,range,defense,guess,ahead,418.89
born,she,edge,would,ahead,219.41
perform,gun,house,popular,base,600.42
difference,late,all,common,significant,191.65
performance,notice,maybe,company,according,144.85
number,west,than,loss,scene,623.71
especially,walk,use,under,successful,634.72
more,certain,no,often,from,762.02
activity,watch,still,third,night,280.63
defense,sing,authority,say,positive,661.87
join,see,until,beyond,space,951.15
participant,group,visit,perform,result,344.58
stand,fire,ahead,middle,leader,491.32
according,seat,without,black,kind,984.31
family,method,traditional,pull,employee,348.57
no,son,great,letter,war,47.91
down,when,vote,fund,enter,834.81
civil,reality,recent,many,relationship,417.77
community,population,moment,performance,fall,649.01
reveal,blue,much,choose,among,948.39
avoid,population,soldier,worry,hotel,460.94
crime,do,probably,can,news,423.77
person,conference,happy,detail,great,90.78
news,join,where,take,reflect,966.33
travel,agree,you,phone,take,576.72
place,respond,modern,physical,become,258.38
mean,successful,send,against,election,622.03
fund,newspaper,leader,outside,newspaper,526.7
likely,Congress,structure,eye,assume,524.88
reduce,ready,machine,paper,full,783.6
save,vote,prepare,figure,weight,701.38
low,really,threat,actually,offer,234.77
should,despite,laugh,the,behavior,198.41
sign,song,range,itself,but,873.12
suggest,around,poor,how,million,119.29
front,me,lot,bag,win,590.71
color,already,effort,even,gun,993.52
notice,hotel,minute,me,total,330.84
bring,need,them,recently,travel,288.24
executive,care,television,huge,generation,464.77
ok,increase,cover,drop,full,237.29
partner,issue,center,say,statement,127.97
assume,size,agree,process,somebody,415.43
stuff,resource,section,example,area,481.7
industry,mother,person,not,charge,73.84
response,east,skin,these,significant,85.91
again,citizen,reason,store,spring,966.02
fact,character,according,woman,low,843.51
green,paper,education,student,Mr,961.12
rest,society,personal,go,do,203.28
number,writer,head,image,marriage,49.6
such,catch,care,matter,social,453.0
exist,approach,probably,like,past,295.09
accept,rest,allow,improve,finally,503.25
best,quite,because,price,you,176.03
value,raise,officer,campaign,audience,270.15
you,lot,six,local,her,579.65
himself,summer,everybody,artist,boy,210.56
now,most,crime,indicate,son,314.25
law,run,central,two,indeed,745.1
history,respond,food,bag,answer,183.84
away,feel,young,Republican,nature,223.11
statement,theory,wonder,gun,until,19.36
material,authority,bring,result,animal,800.04
fine,yourself,series,art,movement,174.99
experience,bill,drug,store,without,517.59
down,center,allow,as,Democrat,13.62
community,hard,my,practice,fall,962.99
eat,change,stuff,fire,arm,500.85
many,certain,maintain,visit,body,693.01
get,line,behavior,list,usually,946.74
partner,include,southern,medical,far,913.93
mother,answer,evidence,role,much,457.97
cup,American,administration,world,relate,1.49
order,part,tough,clear,term,168.14
then,our,Republican,evidence,dinner,605.71
so,hair,wind,animal,something,421.67
race,late,section,the,of,224.4
democratic,treatment,employee,issue,develop,330.51
theory,few,available,five,student,97.14
interest,wait,easy,partner,leg,993.96
take,natural,heavy,wrong,tend,622.25
possible,north,approach,American,gas,811.01
paper,always,she,carry,worker,765.18
why,realize,feel,cause,sea,923.87
cell,computer,adult,nation,message,565.74
officer,bed,level,usually,so,964.22
cost,situation,minute,own,however,848.36
task,series,to,continue,other,922.89
eight,late,break,consumer,end,601.48
cup,rest,simply,true,dinner,374.36
stage,return,increase,close,small,969.9
able,call,give,third,discover,44.02
teacher,vote,deal,social,want,999.9
believe,ability,three,next,night,805.64
ground,drive,particularly,science,my,477.71
professor,candidate,without,inside,hope,564.85
ground,program,step,somebody,eat,467.15
able,boy,threat,investment,question,22.66
may,author,west,feeling,professor,850.71
listen,drop,three,agree,enter,894.8
thing,nature,support,structure,interview,437.02
reduce,its,type,such,few,419.07
organization,hand,eight,space,south,522.51
bad,someone,management,sure,possible,188.65
result,item,home,would,power,406.46
though,on,another,than,artist,631.12
dark,cell,yet,American,drive,727.47
account,long,body,break,strategy,806.12
sea,set,those,better,resource,191.86
state,president,thought,war,answer,433.4
interest,spring,adult,bar,than,54.76
radio,its,center,investment,at,427.56
short,capital,teach,candidate,might,226.27
seem,beat,tree,approach,hair,840.72
capital,agent,nation,tend,world,531.6
skill,number,safe,today,fast,646.4
shoulder,natural,up,student,network,409.72
bad,improve,task,bit,teach,364.2
father,we,during,rich,prove,19.61
make,your,themselves,town,across,216.5
simply,they,toward,trouble,base,45.39
system,box,always,live,protect,43.44
force,happen,rest,available,economy,520.4
stage,if,peace,born,discuss,398.13
score,bill,economic,need,interest,429.86
network,morning,environmental,organization,treatment,395.68
performance,those,sound,human,executive,463.87
music,southern,wide,candidate,magazine,795.18
positive,about,even,relationship,decide,518.97
first,attorney,seek,financial,husband,558.98
source,little,happen,sea,turn,902.26
major,phone,feel,author,tonight,331.21
right,recently,resource,system,treatment,182.86
above,fill,see,give,even,693.89
theory,peace,sound,group,newspaper,667.54
skill,scientist,involve,act,PM,979.21
order,information,join,nothing,relationship,970.79
statement,discover,drive,take,help,479.83
wind,second,receive,style,challenge,14.48
model,reveal,relate,memory,common,841.16
measure,plan,sea,seven,cover,638.12
property,whole,benefit,as,maybe,578.75
character,officer,cover,level,my,683.13
laugh,three,do,friend,life,847.64
only,see,whatever,impact,out,276.52
act,think,ever,never,beat,300.05
land,response,represent,enough,produce,382.45
choose,hair,cultural,nor,compare,197.12
sure,story,box,than,field,791.1
participant,remain,hear,address,care,671.25
Mr,plant,piece,involve,buy,628.26
offer,political,young,everybody,wrong,807.68
follow,story,over,than,heavy,892.08
newspaper,safe,establish,while,interesting,636.08
let,budget,think,organization,no,534.15
house,term,eat,exist,media,582.35
focus,when,that,major,blood,332.49
everybody,trade,thing,save,property,924.08
edge,try,safe,deep,image,687.89
their,keep,out,machine,born,952.11
religious,firm,city,cut,risk,164.86
medical,near,him,popular,election,868.63
student,oil,resource,break,price,56.74
happy,hear,majority,anyone,something,475.32
important,old,describe,whole,style,974.9
hard,list,now,house,environmental,997.76
leader,but,power,parent,property,264.4
help,environment,huge,third,draw,239.84
least,first,loss,environment,claim,944.87
author,young,dark,let,area,220.45
scene,around,card,beat,Mr,851.84
measure,sell,edge,wait,peace,692.12
cup,word,present,policy,crime,553.54
clear,candidate,main,course,media,208.44
sense,out,compare,establish,but,334.1
product,add,size,different,best,943.01
maintain,argue,medical,develop,instead,530.45
beat,doctor,quite,fact,free,978.55
me,plan,benefit,yes,new,161.96
scene,far,cell,alone,structure,856.69
them,three,we,painting,book,452.05
author,return,case,return,medical,621.29
loss,certain,suddenly,head,guy,647.92
bill,same,its,would,social,883.5
memory,city,last,rise,answer,910.93
than,remain,provide,left,exist,594.32
news,however,answer,candidate,appear,405.17
image,that,computer,sister,future,897.77
society,sure,author,through,a,731.74
dark,follow,ahead,himself,fall,200.41
far,remember,traditional,fill,near,398.97
majority,already,window,me,painting,739.06
sea,current,future,public,suggest,948.46
energy,hard,behavior,behind,society,111.59
carry,program,community,onto,door,736.15
space,prepare,price,edge,yard,120.32
goal,under,compare,health,relationship,282.03
Mr,sea,film,various,mind,134.67
left,stuff,security,station,student,802.75
oil,foot,these,company,husband,889.01
authority,sit,question,read,brother,239.74
threat,natural,trade,agreement,behavior,647.39
care,blood,she,our,southern,886.68
character,movement,without,reach,more,206.55
lose,use,bed,red,raise,686.14
baby,describe,card,after,raise,413.2
official,perform,real,place,oil,573.17
interview,individual,room,across,start,21.0
usually,agent,job,wish,participant,234.46
note,also,early,reach,series,493.13
together,role,us,station,whole,529.71
security,four,decade,less,politics,225.75
build,office,trip,lose,let,418.8
but,magazine,particular,else,audience,929.73
ago,result,imagine,trade,executive,68.37
expect,single,serve,fast,measure,434.44
mother,dream,entire,turn,follow,153.26
next,treatment,above,anything,black,236.49
however,lead,collection,machine,mean,230.35
how,cold,interest,item,entire,95.15
push,show,tonight,machine,state,963.81
old,wall,serious,against,southern,44.89
officer,board,contain,onto,action,702.87
guess,spend,PM,fish,experience,64.04
begin,eight,owner,need,notice,205.25
growth,test,north,say,event,766.89
we,tell,cut,worker,seat,224.79
traditional,hot,boy,present,movie,250.24
him,dinner,money,letter,cut,313.46
southern,military,oil,discussion,my,29.12
whole,air,personal,allow,staff,443.78
budget,thing,game,moment,herself,410.25
find,provide,dog,return,him,599.86
bill,number,expect,education,popular,52.08
little,result,go,well,defense,180.1
year,person,decade,discuss,result,14.95
industry,share,same,across,other,775.21
ground,ok,certain,election,without,461.1
